Post Name,Number of Likes,Number of Comments,Number of Saved,Number of Shares,Commentor Name,Comment
Adakah ini anda ketika berada dalam sahur? 😂😂 Nafas nafas 🤪🤪,686,7,38,27
,,,,,ros,oke ye
,,,,,harina,hadir
,,,,,👩‍🦱syazlianasyah👩‍🦱,hadirr
,,,,,haliqah,"kalau saya,dah nak azan baru lapar dan dahaga 🙂"
,,,,,Siti Rohayu,😁😁😁😁
,,,,,AMA TAK,😳😳😂🥰🥰
,,,,,nusiah,👍👍👍
