Number of Likes,Commentor Name,Comment
145
,acsonmalaysia,Done ❤️
,qaseh_cahya,Done ✅
,jamuna_trjks,@giena858 @zamzielaziela @aishah_humaira8 #RayaKoolAcsonKool
,rashidahhajiabdulrashid,My favourite lyric of Raya Kool Acson Kool is Dapatkan Acson (sejuk dan nyaman)Let's follow & support @acsonmalaysia 👫🏻 @missykya 👫🏻 @rose5zal 👫🏻 @hafizah147 #RayaKoolAcsonKool
,iedacomey_,#RayaKoolAcsonKool @beehong5162 @tanliqing2008 @cch74649
,ngsweelin8,#RayaKoolAcsonKool @chua653 @candy_bong89 @bearmiko_
,ngsweelin8,Done 👍🏻 #RayaKoolAcsonKool
,aslin2912,Done ✅ #RayaKoolAcsonKool @anis_hasniza94 @qasehreyta @ratusabaq
